experimento,modelo,epochs,batch,imgsz,optimizer,lr0,Accuracy,Precision (macro),Recall (macro),F1-score (macro),augmentation,split
exp01_yolo11n,yolo11n-cls.pt,25,32,224,AdamW,0.001,0.6090909090909091,0.5826263383666952,0.5685479961215256,0.5383211444432046,,
exp02_split_corregido,yolo11n-cls.pt,25,32,224,AdamW,0.001,0.5897435897435898,0.7236530760715918,0.5985989010989011,0.5648747711830712,default (randaugment + erasing 0.4),"train:p01,p02,p04|val:p03|test:p05"
exp03_aug_moderado,yolo11n-cls.pt,25,32,224,AdamW,0.001,0.4963369963369963,0.4258105722825157,0.525673076923077,0.4340059575415691,"B_moderado (sin randaugment/erasing, scale 0.3)","train:p01,p02,p04|val:p03|test:p05"
exp04_aug_minimo,yolo11n-cls.pt,25,32,224,AdamW,0.001,0.2362637362637362,0.212019974131644,0.2310164835164835,0.1828589027887415,"A_minimo (solo flip + color leve, scale 0.1)","train:p01,p02,p04|val:p03|test:p05"
exp05_yolo11s,yolo11s-cls.pt,25,32,224,AdamW,0.001,0.3608058608058608,0.4387162454078305,0.3707554945054945,0.2620282901354746,C_fuerte (default: randaugment + erasing 0.4),"train:p01,p02,p04|val:p03|test:p05"
exp06_yolo11n_imgsz320,yolo11n-cls.pt,25,24,320,AdamW,0.001,0.6355311355311355,0.7198585034094054,0.6470054945054945,0.6104344579384907,C_fuerte (default: randaugment + erasing 0.4),"train:p01,p02,p04|val:p03|test:p05"
exp07_yolo11n_dropout,yolo11n-cls.pt,25,32,224,AdamW,0.001,0.467032967032967,0.5518592086445258,0.509739010989011,0.4625743353014237,C_fuerte + dropout 0.25,"train:p01,p02,p04|val:p03|test:p05"
exp08_imgsz448,yolo11n-cls.pt,25,16,448,AdamW,0.001,0.4798534798534798,0.5362693395552827,0.4942170329670329,0.4006102499038244,C_fuerte (default: randaugment + erasing 0.4),"train:p01,p02,p04|val:p03|test:p05"
exp09_imgsz320_50ep,yolo11n-cls.pt,50,24,320,AdamW,0.001,0.5934065934065934,0.6967796000006992,0.6477060439560439,0.6015207365793398,C_fuerte (default: randaugment + erasing 0.4),"train:p01,p02,p04|val:p03|test:p05"
ens_exp06+exp09,2x yolo11n-cls (promedio probs),25/50,24,320,AdamW,0.001,0.6722,0.7037,0.7135,0.6727,C_fuerte,"train:p01,p02,p04|val:p03|test:p05"
exp06+TTA_flip,yolo11n-cls.pt,25,24,320,AdamW,0.001,0.6245,0.6178,0.6506,0.6012,C_fuerte + TTA flip (inferencia),"train:p01,p02,p04|val:p03|test:p05"
exp10_train_dedup,yolo11n-cls.pt,25,24,320,AdamW,0.001,0.4139194139194139,0.5499997801688915,0.4074725274725274,0.3243191245882869,C_fuerte | train dedup corr<=0.98 (1299 imgs),"train:p01,p02,p04|val:p03|test:p05"
exp11_split_p06test,yolo11n-cls.pt,25,24,320,AdamW,0.001,0.5563380281690141,0.6024818252220692,0.5157507471888276,0.4745066240650234,C_fuerte,train:persona01+persona02+persona03+persona04 | val:persona05 | test:persona06
exp12_split_p06test_50ep,yolo11n-cls.pt,50,24,320,AdamW,0.001,0.3577464788732394,0.3957036607811092,0.3290678251075787,0.2680606871873408,C_fuerte,train:persona01+persona02+persona03+persona04 | val:persona05 | test:persona06
exp13_cropped,yolo11n-cls.pt,25,24,320,AdamW,0.001,0.3394366197183098,0.3238381595907605,0.3541754519989813,0.2944516622594458,C_fuerte,train:persona01+persona02+persona03+persona04 | val:persona05 | test:persona06
exp14_split_p06test_seed7,yolo11n-cls.pt,25,24,320,AdamW,0.001,0.4056338028169014,0.6311341761113678,0.3722582884658835,0.3377171815252031,C_fuerte,train:persona01+persona02+persona03+persona04 | val:persona05 | test:persona06
ens_exp11+exp12,2x yolo11n-cls (promedio probs),25/50,24,320,AdamW,0.001,0.5493,0.5535,0.5148,0.474,C_fuerte,train:persona01+persona02+persona03+persona04 | val:persona05 | test:persona06
ens_exp11+exp14,2x yolo11n-cls (promedio probs),25/25,24,320,AdamW,0.001,0.4986,0.68,0.46,0.45,C_fuerte,train:persona01+persona02+persona03+persona04 | val:persona05 | test:persona06
exp15_9personas,yolo11n-cls.pt,25,24,320,AdamW,0.001,0.576056338028169,0.6216135079980986,0.5762828537095384,0.5466649328251861,C_fuerte,train:persona01+persona02+persona03+persona04+persona07+persona08+persona09 | val:persona05 | test:persona06
exp16_9personas_seed7,yolo11n-cls.pt,25,24,320,AdamW,0.001,0.8028169014084507,0.8449528941789624,0.7959089792216727,0.7972662071421357,C_fuerte,train:persona01+persona02+persona03+persona04+persona07+persona08+persona09 | val:persona05 | test:persona06
exp17_9personas_seed123,yolo11n-cls.pt,25,24,320,AdamW,0.001,0.7464788732394366,0.7618337723231223,0.7414754276273611,0.7357053218418679,C_fuerte,train:persona01+persona02+persona03+persona04+persona07+persona08+persona09 | val:persona05 | test:persona06
exp18_9personas_seed99,yolo11n-cls.pt,25,24,320,AdamW,0.001,0.704225352112676,0.7724912281590358,0.6969845971643943,0.6910410984001204,C_fuerte,train:persona01+persona02+persona03+persona04+persona07+persona08+persona09 | val:persona05 | test:persona06
exp19_9personas_seed2024,yolo11n-cls.pt,25,24,320,AdamW,0.001,0.7788732394366197,0.7800062519017743,0.7543590839844709,0.7453875011383809,C_fuerte,train:persona01+persona02+persona03+persona04+persona07+persona08+persona09 | val:persona05 | test:persona06
exp15_9personas,yolo11n-cls.pt,25,24,320,AdamW,0.001,0.5761,0.6216,0.5763,0.5467,C_fuerte,train:persona01+persona02+persona03+persona04+persona07+persona08+persona09 | val:persona05 | test:persona06
exp16_9personas_seed7,yolo11n-cls.pt,25,24,320,AdamW,0.001,0.8028,0.845,0.7959,0.7973,C_fuerte,train:persona01+persona02+persona03+persona04+persona07+persona08+persona09 | val:persona05 | test:persona06
exp17_9personas_seed123,yolo11n-cls.pt,25,24,320,AdamW,0.001,0.7465,0.7618,0.7415,0.7357,C_fuerte,train:persona01+persona02+persona03+persona04+persona07+persona08+persona09 | val:persona05 | test:persona06
exp18_9personas_seed99,yolo11n-cls.pt,25,24,320,AdamW,0.001,0.7042,0.7725,0.697,0.691,C_fuerte,train:persona01+persona02+persona03+persona04+persona07+persona08+persona09 | val:persona05 | test:persona06
exp19_9personas_seed2024,yolo11n-cls.pt,25,24,320,AdamW,0.001,0.7789,0.78,0.7544,0.7454,C_fuerte,train:persona01+persona02+persona03+persona04+persona07+persona08+persona09 | val:persona05 | test:persona06
ens_exp16+exp17,2x yolo11n-cls (promedio probs),25/25,24,320,AdamW,0.001,0.8296,0.858,0.8221,0.8202,C_fuerte,train:persona01+persona02+persona03+persona04+persona07+persona08+persona09 | val:persona05 | test:persona06
ens_exp16+exp17+exp18+exp19,4x yolo11n-cls (promedio probs),25/25/25/25,24,320,AdamW,0.001,0.8352,,,,C_fuerte,train:persona01+persona02+persona03+persona04+persona07+persona08+persona09 | val:persona05 | test:persona06
ens_exp16+exp17+exp19,yolo11n-cls.pt,25,24,320,AdamW,0.001,0.8535211267605634,0.8775940127480564,0.8385119416187526,0.8422284252679872,C_fuerte,train:persona01+persona02+persona03+persona04+persona07+persona08+persona09 | val:persona05 | test:persona06
